,model,MKT,SMB,HML,RMW,CMA
2012-09-30,RW-DCC-SKT,0.032363547770481726,1.4235058678599914e-16,0.9676364522294695,1.9661230252013775e-18,4.8547355962757885e-14
2012-10-31,RW-DCC-SKT,0.07975301797545385,8.646480985865745e-10,0.2936823849546423,3.4948076413635693e-16,0.6265645962052554
2012-11-30,RW-DCC-SKT,1.8800338246890807e-15,8.770214546704853e-18,0.2204207359124252,5.363213823236121e-16,0.7795792640875725
2012-12-31,RW-DCC-SKT,0.10355564949624506,0.10094766115068096,4.548515114028572e-16,0.35103857378265013,0.4444581155704234
2013-01-31,RW-DCC-SKT,5.073764232930699e-15,0.6417621356367198,0.3582378643632729,2.101276502986881e-15,2.021222350073803e-16
2013-02-28,RW-DCC-SKT,0.1512567290107635,0.0,4.560549298126079e-18,4.4040019237825976e-16,0.8487432709892361
2013-03-31,RW-DCC-SKT,0.12621483177474982,8.32031745306037e-18,1.9965378819431257e-21,1.8194657934064746e-17,0.8737851682252501
2013-04-30,RW-DCC-SKT,0.13879109355244426,1.3490262809472293e-15,4.380710302339337e-16,0.4382276200365361,0.42298128641101773
2013-05-31,RW-DCC-SKT,0.14205233995474703,8.114421723414493e-17,0.2038623939918157,0.5458601624611127,0.1082251035923246
2013-06-30,RW-DCC-SKT,7.197484694385408e-13,0.2595640863466934,0.7404359136515111,4.996545683091811e-14,1.0259111221844782e-12
2013-07-31,RW-DCC-SKT,6.365749683921374e-18,0.9647663085134872,8.034606388530572e-15,0.03523369148650468,2.3780677805626216e-18
2013-08-31,RW-DCC-SKT,0.12772228645612424,0.5852457989461192,4.196828495661459e-20,2.255573454470607e-17,0.2870319145977566
2013-09-30,RW-DCC-SKT,0.0,0.18255107325144584,0.0,0.8174489267485541,1.0520320706786194e-16
2013-10-31,RW-DCC-SKT,0.006292849440738839,0.9054365155963685,1.0314648931973644e-15,0.0882706349628909,5.641168900750282e-16
2013-12-31,RW-DCC-SKT,0.09847589809819535,0.5277462994977816,8.863084733912856e-17,0.37377780240402286,2.957917306346686e-17
2014-01-31,RW-DCC-SKT,0.9999999999999998,1.3509159069169383e-16,0.0,2.4286128663675293e-17,0.0
2014-02-28,RW-DCC-SKT,0.0,1.0,0.0,0.0,0.0
2014-03-31,RW-DCC-SKT,0.8470782958767468,1.437831323207657e-17,0.0,0.15292170412325318,2.9169097535482234e-17
2014-05-31,RW-DCC-SKT,0.0,0.0,0.0,1.0,0.0
2014-06-30,RW-DCC-SKT,0.9999999999999997,0.0,0.0,3.95516952522712e-16,5.377642775528102e-17
2014-07-31,RW-DCC-SKT,0.0290506994257207,0.970949300574279,8.350481829485316e-17,7.422147355144712e-17,2.4838020520995446e-16
2014-08-31,RW-DCC-SKT,1.0042952853765971e-16,7.191853347059875e-17,9.545278900391009e-15,0.6739706422545194,0.3260293577454708
2014-09-30,RW-DCC-SKT,1.0,0.0,0.0,0.0,1.0408340855860843e-17
2014-10-31,RW-DCC-SKT,0.0,0.0,0.0,1.0,0.0
2014-11-30,RW-DCC-SKT,2.3121917946613053e-16,0.5332888367777179,2.1797140246779743e-16,0.3299249176634883,0.1367862455587933
2014-12-31,RW-DCC-SKT,0.2238577070252156,5.638991691057563e-12,7.509015927025705e-12,0.7761422929564135,5.222864039832193e-12
2015-01-31,RW-DCC-SKT,7.265113604120987e-16,0.3077101810206806,0.347522703747611,0.15041299753679116,0.19435411769491662
2015-02-28,RW-DCC-SKT,1.2194045994622274e-13,0.1514518388485236,1.1111201520295438e-13,0.8485481611511807,6.251837167076412e-14
2015-03-31,RW-DCC-SKT,1.0,0.0,7.28583859910259e-17,0.0,8.500145032286355e-17
2015-04-30,RW-DCC-SKT,1.288869474144254e-14,0.567332112566889,6.9044451952721914e-15,0.43266788743308665,4.587381058268707e-15
2015-05-31,RW-DCC-SKT,7.491056239537295e-12,1.5731232115068474e-12,0.7146344970075817,0.28536550298323055,1.235339513558948e-13
2015-06-30,RW-DCC-SKT,0.3285719551980316,0.6714280448019682,4.1189261054389675e-17,2.6614268354406937e-17,2.0959830882407572e-16
2015-07-31,RW-DCC-SKT,1.5341494936260753e-15,0.5867293674464635,2.827992080539616e-17,0.4132706325535348,0.0
2015-08-31,RW-DCC-SKT,0.2818993781062673,3.682823927605448e-17,2.1245869726134122e-16,0.7181006218937322,1.2934072778472274e-16
2015-09-30,RW-DCC-SKT,3.9468185842696795e-12,4.63775055515352e-12,0.6211453801223963,0.3788546198566928,1.2326342384880954e-11
2015-10-31,RW-DCC-SKT,2.1679069640991634e-15,0.0,0.12930048552248538,0.8706995144775124,0.0
2015-11-30,RW-DCC-SKT,0.15892610254057657,4.244652691465382e-14,1.497571923240906e-14,0.5901788560509995,0.2508950414083663
2015-12-31,RW-DCC-SKT,0.015382501988525912,0.984617498011474,6.343355824682954e-17,1.2663845004171349e-17,1.4634913056933793e-17
2016-01-31,RW-DCC-SKT,7.015573601196567e-10,4.275484419876795e-12,1.0072795932742218e-11,0.8240728084170534,0.17592719086704098
2016-02-29,RW-DCC-SKT,4.460072298066012e-16,1.1707420151119475e-09,2.240927253889168e-09,0.25920909019089106,0.7407909063974394
2016-04-30,RW-DCC-SKT,0.21387925245774075,0.1625308422131382,0.161427294294155,0.4621626110347941,1.7197153168285515e-13
2016-05-31,RW-DCC-SKT,0.0,0.2695625294301878,0.22097563065965622,5.496373120414268e-15,0.5094618399101505
2016-06-30,RW-DCC-SKT,1.0,0.0,5.551115123125783e-17,0.0,0.0
2016-07-31,RW-DCC-SKT,0.04365845763939745,0.2786581991164703,3.1763437427807796e-14,0.3517970551517718,0.3258862880923287
2016-08-31,RW-DCC-SKT,0.124740597038037,0.3474930826101723,9.453302865574994e-15,0.527766320351748,3.33662178667128e-14
2016-09-30,RW-DCC-SKT,1.8912080028516777e-12,0.3472072064604832,0.6527927935323022,5.321316839728237e-12,2.0803524253466672e-15
2016-10-31,RW-DCC-SKT,4.411156313156654e-17,0.682835228785245,2.0454739478634414e-16,7.264092152318156e-17,0.3171647712147546
2016-11-30,RW-DCC-SKT,1.5073953246244871e-19,3.931627764540616e-16,0.5226748478938728,0.4773251521061268,4.672371912321563e-19
2016-12-31,RW-DCC-SKT,0.2,0.2,0.2,0.2,0.2
2017-01-31,RW-DCC-SKT,0.10484059295277294,0.09187237722237616,0.2629377728540193,0.540349256970713,1.1865587094485687e-13
