,model,portfolio_return,portfolio_cvar
2001-06-30,DMA-DCC-SKT,0.02114863558056431,0.025924497261794563
2001-07-31,DMA-DCC-SKT,-0.005943265227464813,0.06434017544338878
2001-08-31,DMA-DCC-SKT,0.005383768074304177,0.034598745997454314
2001-09-30,DMA-DCC-SKT,-0.025577872857050987,0.011221620181199392
2001-10-31,DMA-DCC-SKT,-0.0625575722484981,0.07117742323911005
2001-11-30,DMA-DCC-SKT,-0.013136649989806303,0.049575836083132006
2001-12-31,DMA-DCC-SKT,0.029283043739918174,0.026206818902945506
2002-01-31,DMA-DCC-SKT,0.018407266012369364,0.03399741634973668
2002-02-28,DMA-DCC-SKT,0.014419472746052622,0.023287133123672102
2002-03-31,DMA-DCC-SKT,0.01644661870648124,0.03490752046705945
2002-04-30,DMA-DCC-SKT,0.0355399400538114,0.022655234957329295
2002-05-31,DMA-DCC-SKT,0.001931166967937068,0.015251355439229796
2002-06-30,DMA-DCC-SKT,-0.006630553373013236,0.025004524371157005
2002-07-31,DMA-DCC-SKT,-0.045817087134148476,0.01933913269127527
2002-08-31,DMA-DCC-SKT,-0.0140989243795016,0.0628292913460555
2002-09-30,DMA-DCC-SKT,0.012521280553671603,0.0566511235695958
2002-10-31,DMA-DCC-SKT,-0.04209310232361499,0.03370509619431877
2002-11-30,DMA-DCC-SKT,0.0578914784157776,0.1414812524915662
2002-12-31,DMA-DCC-SKT,-0.018397874512134742,0.026631604451783756
2003-01-31,DMA-DCC-SKT,-0.0079313703262802,0.053891734793049074
2003-02-28,DMA-DCC-SKT,-0.007164230120205652,0.05801432794985669
2003-03-31,DMA-DCC-SKT,-0.008132983230188896,0.055484509426824986
2003-04-30,DMA-DCC-SKT,-0.04793053375754989,0.059484112868626864
2003-05-31,DMA-DCC-SKT,0.020543410464882915,0.030286619090018434
2003-06-30,DMA-DCC-SKT,0.004617625487726091,0.002188413291358063
2003-07-31,DMA-DCC-SKT,-0.002253743542141003,0.016049549817172284
2003-08-31,DMA-DCC-SKT,0.009145992773186748,0.019302248478828582
2003-09-30,DMA-DCC-SKT,0.0011668252233732318,0.013087719975619399
2003-10-31,DMA-DCC-SKT,0.019225772889107134,0.033623964275152275
2003-11-30,DMA-DCC-SKT,0.01701074453775846,0.005431547813390964
2003-12-31,DMA-DCC-SKT,0.003018260188137785,0.016647662462458173
2004-01-31,DMA-DCC-SKT,-0.007118321340770487,0.02178560262254389
2004-02-29,DMA-DCC-SKT,-0.0026339113714241827,0.013795179520217365
2004-03-31,DMA-DCC-SKT,0.00236947088057642,0.01626956163461586
2004-04-30,DMA-DCC-SKT,0.00248879838736161,0.029562776607676658
2004-05-31,DMA-DCC-SKT,0.0028358204425211007,0.02935636349215899
2004-06-30,DMA-DCC-SKT,0.007520588316176862,0.013542039288447378
2004-07-31,DMA-DCC-SKT,-0.01018322889595397,0.007094376788336197
2004-08-31,DMA-DCC-SKT,0.010742096531902,0.011633524429968695
